"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"S10","SHEK LEI NORTH","2","CHEUNG IP MEI","1,459",FALSE,FALSE,1459,2015
"S11","TAI PAK TIN","1","KWOK FU YUNG","2,884*",FALSE,TRUE,2884,2015
"S11","TAI PAK TIN","2","TSUI SANG HUNG SAMMY","1,997",FALSE,FALSE,1997,2015
"S12","KWAI FONG","1","LEUNG YIU CHUNG","3,301*",FALSE,TRUE,3301,2015
"S12","KWAI FONG","2","CHAN MAN LUEN YING","1,624",FALSE,FALSE,1624,2015
"S13","WAH LAI","1","TAI PUI SHAN CHRISTABEL DONNA","263",FALSE,FALSE,263,2015
"S13","WAH LAI","2","YUEN KWOK KI","707",FALSE,FALSE,707,2015
"S13","WAH LAI","3","WONG YIU CHUNG","2,130*",FALSE,TRUE,2130,2015
"S14","LAI WAH","*","CHU LAI LING","Uncontested",TRUE,TRUE,0,2015
"S15","CHO YIU","1","PAU MING HONG","2,986*",FALSE,TRUE,2986,2015
"S15","CHO YIU","2","LO WAI LAN","580",FALSE,FALSE,580,2015
"S15","CHO YIU","3","CHAN TAK CHEUNG","1,230",FALSE,FALSE,1230,2015
"S16","HING FONG","1","LEUNG KAR MING","2,629",FALSE,FALSE,2629,2015
"S16","HING FONG","2","NG KIM SING","2,701*",FALSE,TRUE,2701,2015
"S17","LAI KING","*","CHOW YICK HAY","Uncontested",TRUE,TRUE,0,2015
"S18","KWAI SHING WEST ESTATE","1","LAU MEI LO","3,157*",FALSE,TRUE,3157,2015
"S18","KWAI SHING WEST ESTATE","2","LEUNG CHING SHAN","2,146",FALSE,FALSE,2146,2015
"S19","ON HO","1","TAM WAI CHUN","3,021*",FALSE,TRUE,3021,2015
"S19","ON HO","2","LAU SIU HANG","2,667",FALSE,FALSE,2667,2015
"S20","WAI YING","*","MAK MEI KUEN ALICE","Uncontested",TRUE,TRUE,0,2015
"S21","TSING YI ESTATE","1","CHENG HIU LING(ELAINE)","1,311",FALSE,FALSE,1311,2015
"S21","TSING YI ESTATE","2","CHIU CHIT UE(UNY)","655",FALSE,FALSE,655,2015
"S21","TSING YI ESTATE","3","YU LAP ON","54",FALSE,FALSE,54,2015
"S21","TSING YI ESTATE","4","CHAN SIU MAN SIMON","2,419*",FALSE,TRUE,2419,2015
"S22","GREENFIELD","1","CHEUNG WAI CHING CLARICE","3,467*",FALSE,TRUE,3467,2015
