"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"R08","博康","2","陳國添","2,666",FALSE,FALSE,2666,2015
"R09","乙明","1","周秉謙(謙仔)","541",FALSE,FALSE,541,2015
"R09","乙明","2","葉家明","1,050",FALSE,FALSE,1050,2015
"R09","乙明","3","丘文俊","3,221*",FALSE,TRUE,3221,2015
"R10","秦豐","1","梁家瑋","1,578",FALSE,FALSE,1578,2015
"R10","秦豐","2","陳諾恒","3,724*",FALSE,TRUE,3724,2015
"R11","新田圍","1","李樂昕","1,488",FALSE,FALSE,1488,2015
"R11","新田圍","2","程張迎","2,455*",FALSE,TRUE,2455,2015
"R12","翠田","1","許<U+92ED>宇","2,048*",FALSE,TRUE,2048,2015
"R12","翠田","2","黃澤標","1,675",FALSE,FALSE,1675,2015
"R13","顯嘉","1","林松茵","2,473*",FALSE,TRUE,2473,2015
"R13","顯嘉","2","莫偉雄","1,713",FALSE,FALSE,1713,2015
"R14","下城門","1","唐學良","1,209*",FALSE,TRUE,1209,2015
"R14","下城門","2","李源錦","987",FALSE,FALSE,987,2015
"R14","下城門","3","莊耀勤","1,175",FALSE,FALSE,1175,2015
"R15","雲城","1","黃良喜","962",FALSE,FALSE,962,2015
"R15","雲城","2","張德榮","927",FALSE,FALSE,927,2015
